target,RMSE (GBT),R2 (GBT),RMSE (RF),R2 (RF)
target_total_snow,0.0,,0.0,
target_sun_hour_Scaled,0.03883539025395263,0.9605989985627245,0.06965649453854132,0.8732420688194871
target_uv_index_1_Scaled,0.013874858665257646,0.9829903908832214,0.03922210260957141,0.8640751254765312
target_uv_index_2_Scaled,0.07710357196400472,0.9276704173310971,0.09888785214952549,0.8810257840448485
target_moon_illumunation_Scaled,0.03387849735699749,0.9883033471889678,0.11229055035640503,0.8715010020642118
target_dew_point_Scaled,0.018241179174760775,0.945413633684162,0.02248910846735099,0.917029664724578
target_wind_gust_Scaled,0.024705933403559553,0.9189468683909119,0.032308071346283815,0.8613916694253341
target_cloudcover_Scaled,0.07064991325281066,0.9378602025830505,0.10079624282612702,0.8735160978845073
target_humidity_Scaled,0.03900802438075356,0.9691974524593527,0.06180274447607928,0.9226795721955364
target_visibility_Scaled,0.04039451159840566,0.8660074526074779,0.05042754313608699,0.7911802652340424
target_wind_speed_Scaled,0.033386858250770375,0.9235833829037668,0.04681577997064773,0.8497476656600063
target_max_temp_Scaled,0.1108155217598517,0.9677910066430013,0.20581562315279744,0.8888952472542782
target_min_temp_Scaled,0.07361221294920577,0.9756300517996387,0.14255571285733232,0.9086046477994616
target_feels_like_Scaled,0.14936672106242377,0.941562595459364,0.16246067059308802,0.9308679067343485
target_heat_index_Scaled,0.1458979227638074,0.9427181879666872,0.16677519140897717,0.9251517887072098
target_wind_chill_Scaled,0.14848397031248764,0.9528485224831669,0.18518804445408454,0.9266564285214425
target_precip_Scaled,0.6233701209535754,0.5132030698952297,0.6283612369601856,0.5053766226370127
target_pressure_Scaled,0.12024387778230382,0.9518392612382103,0.17824951745845521,0.8941663147941663
target_temp_Scaled,0.14533145350658855,0.9534295163859264,0.17374387892981732,0.9334404250265126
target_wind_dir_sin,0.17691578118539877,0.9598965607846011,0.1924551371207112,0.9525422126646528
target_wind_dir_cos,0.197765615390562,0.814225705458465,0.24330526680256703,0.7188182878483269
target_date_time_year_sin,0.00905747444616808,0.9948175285294907,0.027999909925043743,0.9504736920676408
target_date_time_year_cos,0.010940700513464708,0.9948016253019667,0.03342360960303512,0.9514841080488279
target_date_time_month_sin,0.022615031698210906,0.9989775992518881,0.18027925992826999,0.9350291886689603
target_date_time_month_cos,0.028405214220315535,0.9983849863636398,0.14049967949179087,0.9604878444460158
target_date_time_day_sin,0.06798459099349505,0.9908952557130931,0.20720018201681445,0.9154279145753842
target_date_time_day_cos,0.06791303167164747,0.9906302689898948,0.2399274928044737,0.8830551991583306
target_date_time_hour_sin,0.06512335208381069,0.9914644196652954,0.2148191357222583,0.9071235749458975
target_date_time_hour_cos,0.0586997634904765,0.9931508779859719,0.19872149824987015,0.9215032084517207
target_date_time_minute_sin,0.0,,0.0,
target_date_time_minute_cos,0.0,,0.0,
