target,RMSE (GBT),R2 (GBT),RMSE (RF),R2 (RF)
total_snow,0.0,1.0,0.0,1.0
sun_hour_Scaled,0.03881418337368454,0.9603955382434586,0.0660940759839736,0.8851612968224607
uv_index_1_Scaled,0.01466341375269845,0.9807687616825023,0.029987824581797558,0.9195683468575188
uv_index_2_Scaled,0.07550356696045692,0.9306648564404378,0.0962198296292494,0.8873975997943405
moon_illumunation_Scaled,0.034855864773598616,0.9876887798883143,0.13915122758716839,0.8037889526234341
dew_point_Scaled,0.01905916700989486,0.9411342709937707,0.021756565359905042,0.9232929348156768
wind_gust_Scaled,0.02475332050782194,0.9199133545539752,0.03207779753257054,0.8655062024506338
cloudcover_Scaled,0.07118627005847969,0.9364668178156719,0.09698709324474657,0.8820668171558858
humidity_Scaled,0.039429608463099106,0.9687226895395855,0.0637578603521934,0.9182190897305411
visibility_Scaled,0.04052766761920691,0.8636811357540783,0.046558750673530686,0.820089970738826
wind_speed_Scaled,0.03339172598083496,0.9241759743846687,0.04720128043515297,0.8484916172825148
max_temp_Scaled,0.11430675215552673,0.9653932780721498,0.20641096201594317,0.8871550290802082
min_temp_Scaled,0.07281264590735996,0.976359171330887,0.1410116782833606,0.9113335679867632
feels_like_Scaled,0.1480836632404404,0.9428804297373268,0.16376163056249163,0.9301454111847244
heat_index_Scaled,0.14512791387557497,0.9437264991879993,0.16988610993944586,0.9228887448076395
wind_chill_Scaled,0.14673024903332219,0.9544513397531148,0.1800179652229576,0.9314404442185933
precip_Scaled,0.635208856246639,0.5306009432958516,0.6262407506861698,0.5437616660654716
pressure_Scaled,0.12506229655682727,0.9478535217583923,0.19456849278232363,0.8737831859333154
temp_Scaled,0.14517387528537795,0.9542140527741954,0.17898058875567696,0.9304067484907398
wind_dir_sin,0.17893694608237787,0.9590859698536136,0.24373297106379527,0.9240896866952959
wind_dir_cos,0.18865827304135002,0.8293100183630417,0.23054533937786834,0.7451004806105088
date_time_year_sin,0.005856494186840954,0.9978253574585461,0.03452721091486135,0.9244150305152048
date_time_year_cos,0.007224546542595067,0.9977220570294774,0.03974889822784025,0.9310440333313649
date_time_month_sin,0.02360117063917286,0.9988775184120319,0.16641284566638445,0.9441933657700317
date_time_month_cos,0.02625979632680385,0.9986310175892557,0.1139269623793655,0.9742327425024875
date_time_day_sin,0.06738782594252397,0.9910768451457598,0.23305785768887816,0.8932708528613341
date_time_day_cos,0.06720636656995914,0.990795157226471,0.2074996462337544,0.9122534069281745
date_time_hour_sin,0.06524678577553354,0.991435975480804,0.1786053228841367,0.9358275746433631
date_time_hour_cos,0.05277887194725523,0.9944594076959655,0.19384841398281458,0.9252587268931565
date_time_minute_sin,0.0,1.0,0.0,1.0
date_time_minute_cos,0.0,1.0,0.0,1.0
